text,label
Typed my name on form. ✈️ #family #school 🌟☀️,0
Assignment grade much lower than expected #retro #app ✨🌟,-1
@peeps Checked my balance at the ATM. ⌨️ #tech 🍕🥗,0
Setting up the meeting room for conference #instagood #photography 💭,0
Phone battery charging at normal speed ✓ #2024 🚴🥗,0
"@folks The podcast interview went perfectly, can't wait for it to air #yesterday #vintage #daily 🖥️",1
Product broke after first use !!! ✅ #update #ootd #homework 🎥🖥️,-1
@peeps Meeting devolved into finger-pointing !!! #wellness 🧘📸,-1
@folks Students were engaged in class today. !!! #vibes #sale 🎵,1
⚙ Browser tab playing audio indicated #rain #new 📹,0
Rainwater seeped into my bag. #ootd 🌈,-1
@peeps Cold food served at the cafeteria. #2025 🎪,-1
New workflow causing constant delays !!! ✨ #explore #tuesday 🎬,-1
Warranty doesn't cover this damage #student #monday 🌧️🚀,-1
Coupon rejected at checkout ✅ #design #software #event 🌸,-1
@folks Headache getting worse throughout the day !!! #adventure #memories #nofilter ❄️,-1
Concert tickets sold out in seconds. !!! #goals ⚽📸,-1
@yall Family game night was hilarious. #may ❄️,1
Screen recording stopped at 5 minutes ⚽ #alert #trip 🏋️🥤,0
New restaurant becoming instant favorite #monday #snack 📺📌,1
@fam Moved a file to another folder. ️ #education 💥👍,0
@all CONCERT encore was absolutely EPIC ️ #homework #love #fashion 📅👍,1
Got a free sample at the supermarket. !!! ✅ #social #art 🚴👍,1
@yall Download failed at 99 percent !!! #photooftheday 🚌,-1
Placed my order through the kiosk. #tea 🏖️,0
"Ordered medium, received extra small #adventure #work #trending ⏰",-1
Got complimented on my outfit today. #life 🚌,1
Baked cookies and they smelled amazing. ✨ #workout #2024 🎬⚽,1
@team Noted the task in planner. ️✏️ #june #university 🎵,0
@folks Rain ruined the outdoor event completely !!! ✨✅ #january 📷,-1
@fam Morning sunshine lifted my mood instantly. #info 🍜,1
Finished the puzzle that's been sitting there for weeks #hustle #remote #news 💯🏔️,1
@all Garden harvest BIGGER than expected !!! #wanderlust #rain 👌,1
Computer infected with ransomware #wanderlust #digital ☀️,-1
@peeps Expensive repair didn't fix the problem ✨ #people 📍,-1
Family gathering went smoothly for once #may #startup 🚴,1
"Smooth commute, no traffic jams at all. !!! ✅ #ootd 🧘📹",1
File renamed from untitled to report #local #may ⚡,0
@guys API request returned status 200 #style 🎭,0
@guys My experiment gave promising results. #tea #instadaily 👍🍔,1
@here TV signal cut off suddenly. !!! #reminder #yesterday 🌍🏃,-1
Cooked a tasty new pasta dish. ✨ #afternoon #classic ☀️🗺️,1
Prescription costs went up again ️ #routine ⚡,-1
Tab closed after reading #hustle ⌨️,0
Unhelpful directions on the website. #yesterday 🎮🧘,-1
Art supply store had everything needed !!! #tbt 🚴,1
Successfully fixed my bike chain. #study 🧘📊,1
This shirt shrank after one wash. !!! #instadaily #weather #ootd 📍🔥,-1
@yall Won a gift card in the raffle today! #wanderlust #february 🚶🎸,1
@team ➡ Switched from Chrome to Firefox today. #tuesday #exam #evening 🚗⚡,0
New gym routine is showing results already !!! #gym #yesterday #retail 🏖️👌,1
The lecture was clear and super engaging. !!! #evening 🏋️🎵,1
@guys Printer kept smudging all the papers. ‍‍‍ #student 🌧️📌,-1
@peeps Download speed testing at 50 Mbps #sunday #remote #march 🏔️,0
@fam Manager recognized me in front of the team. !!! ✏️ #office 💪,1
@squad Product arrived completely broken !!! #learning 🍔🎨,-1
@all Perfect weather for the picnic today #art 📅🏋️,1
@here BIRTHDAY surprise COMPLETELY successful !!! #evening #random 💥🎵,1
Put the keys on the table. #monday 🎵🚶,0
@all Coffee shop played my favorite SONG. !!! #new #workout #tip 🏔️,1
@all Computer won't start up at all #mood #gaming #study 🎮,-1
Working from the library today. #thoughts ☕🥤,0
Plugged in my laptop to charge. #ootd #wednesday 💭📅,0
New coffee shop has amazing atmosphere ️ #news 📌,1
